DATAFLOW;LAST UPDATE;freq;nrg_bal;siec;unit;geo;TIME_PERIOD;OBS_VALUE;OBS_FLAG
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2000;623178;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2001;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2002;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2003;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2004;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2005;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2006;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2007;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2008;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2009;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2010;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2011;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2012;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2013;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2014;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2015;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2016;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2017;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2018;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2019;0.000;
ESTAT:NRG_BAL_C(1.0);24/5/24 23:00;A;EXP;C0000X0350-0370;GWH;PT;2020;560000;
